Point Name,Easting,Northing,Elevation,,H. precision,V. precision,solution type
Base Station,0,0,3258.488,,,,
Disc1,-96.331,466.123,3251.16,,0.0564,0.0351,Float
Disc2,-96.33,466.128,3251.16,,0.088,0.0503,Float
Radio Perri,-250.627,31.823,3256.612,,,,
site 1 helper b,-422.562,991.943,3249.643,,0.0067,0.0118,Fixed
site 1 helper c,-439.009,962.045,3249.393,,0.0072,0.0125,Fixed
site 1 power,-405.361,962.845,3249.67,,0.0052,0.0088,Fixed
site 1 pulser,-456.824,992.25,3249.406,,0.1244,0.1863,Float
site 1 pulser2,-456.826,992.239,3249.404,,0.0051,0.0092,Fixed
site 1 srx 1,-416.651,966.071,3249.332,,0.0048,0.0083,Fixed
site 1 srx 2,-415.253,968.44,3249.753,,0.0051,0.0087,Fixed
site 1 srx 3,-413.89,970.899,3249.621,,0.0049,0.0083,Fixed
site 1 srx 4,-420.986,980.391,3249.446,,0.005,0.0084,Fixed
site 1 srx 5,-423.566,980.015,3249.661,,0.0059,0.0091,Fixed
site 1 srx 6,-425.973,979.779,3249.66,,0.005,0.0086,Fixed
site 1 srx 7,-430.432,970.336,3249.438,,0.005,0.0087,Fixed
site 1 srx 8,-429.179,968.104,3249.566,,0.0489,0.0727,Float
site 1 srx 9,-427.822,966.054,3249.569,,0.0468,0.069,Float
site 2 helper b,-1651.525,1169.492,3248.142,,2.1505,1.0419,Float
site 2 helper c,-1635.011,1199.402,3247.626,,1.9943,1.0231,Float
site 2 power,-1669.182,1196.214,3247.834,,,,
site 2 pulser,-1650.66,1195.205,3248.451,,0.1162,0.0696,Float
site 2 srx 1,-1656.088,1194.864,3248.279,,0.9233,0.9081,Float
site 2 srx 2,-1657.252,1192.533,3248.372,,0.9334,0.921,Float
site 2 srx 3,-1657.888,1187.339,3248.449,,0.0088,0.0137,Fixed
site 2 srx 4,-1653.514,1179.122,3248.476,,0.0088,0.0136,Fixed
site 2 srx 5,-1650.812,1179.953,3248.947,,0.194,0.2097,Float
site 2 srx 6,-1647.851,1178.986,3248.405,,0.0585,0.027,Float
site 2 srx 7,-1643.766,1187.065,3248.467,,0.3723,0.2128,Float
site 2 srx 8,-1644.82,1189.474,3248.375,,0.3142,0.2128,Float
site 2 srx 9,-1646.19,1192.027,3247.309,,,,
site 3 helper b,-252.646,2207.665,3248.675,,1.9199,1.5349,Float
site 3 helper c,-217.844,2200.697,3254.918,,1.8116,1.3989,Float
site 3 power,-235.135,2174.534,3250.055,,0.005,0.009,Fixed
site 3 pulser,-235.294,2207.769,3248.174,,2.297,1.5762,Float
site 3 srx 1,-232.677,2185.609,3250.128,,0.005,0.009,Fixed
site 3 srx 2,-235.357,2186.019,3249.589,,,,
site 3 srx 3,-237.642,2185.733,3249.987,,0.0067,0.0133,Fixed
site 3 srx 4,-243.735,2195.976,3249.944,,0.0054,0.0096,Fixed
site 3 srx 5,-242.626,2198.375,3250.06,,0.0056,0.0101,Fixed
site 3 srx 6,-241.62,2200.486,3250.044,,0.0057,0.0103,Fixed
site 3 srx 7,-229.774,2200.058,3250.105,,0.0066,0.0115,Fixed
site 3 srx 8,-228.027,2197.66,3250.188,,0.0055,0.0098,Fixed
site 3 srx 9,-226.009,2192.138,3254.424,,1.3782,1.3277,Float
