Station,Channel,Start Run,End Run,Comment
13,0,1058,1084,
13,1,1058,1084,
13,4,1058,1084,
13,10,1058,1084,
13,14,1058,1084,
13,16,1058,1084,
13,17,1058,1084,
13,18,1058,1084,
13,20,1058,1084,
13,23,1058,1084,
21,17,753,878,After update to radiant firmware 0.3.3
22,9,656,778,After update to radiant firmware 0.3.3
22,9,1035,1905,Unclear if glitch already ends at run 1903
22,18,1035,1104,
24,0,906,930,
24,7,906,930,
24,10,906,930,
24,15,906,930,
24,17,906,930,
24,18,906,930,
24,19,906,930,
24,21,906,930,
24,23,906,930,
